,trialNum,numStrokes,repetition,gameID,target,condition,generalization,outcome,bis
0,1,0.9494938464958458,0,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,dining_04,control,between,-4.358878943632439,-5.308372790128285
1,2,0.4292232456762043,0,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,dining_05,control,between,0.22941468124381276,-0.19980856443239153
2,3,0.9494938464958458,0,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_06,repeated,between,0.22941468124381276,-0.7200791652520331
3,4,-0.6113179559630786,0,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_01,repeated,between,0.22941468124381276,0.8407326372068913
4,5,0.4292232456762043,0,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,dining_02,control,between,0.22941468124381276,-0.19980856443239153
5,6,0.4292232456762043,0,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_07,repeated,between,0.22941468124381276,-0.19980856443239153
6,7,-1.1315885567827202,0,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_00,repeated,between,-4.358878943632439,-3.2272903868497185
7,8,1.4697644473154872,0,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,dining_03,control,between,0.22941468124381276,-1.2403497660716745
8,9,-0.6113179559630786,1,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_01,repeated,between,0.22941468124381276,0.8407326372068913
9,10,0.4292232456762043,1,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_07,repeated,between,0.22941468124381276,-0.19980856443239153
10,11,0.4292232456762043,1,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_06,repeated,between,0.22941468124381276,-0.19980856443239153
11,12,-2.172129758422003,1,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_00,repeated,between,0.22941468124381276,2.4015444396658157
12,13,0.4292232456762043,2,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_07,repeated,between,0.22941468124381276,-0.19980856443239153
13,14,-0.09104735514343716,2,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_06,repeated,between,0.22941468124381276,0.3204620363872499
14,15,-0.6113179559630786,2,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_01,repeated,between,0.22941468124381276,0.8407326372068913
15,16,-1.6518591576023616,2,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_00,repeated,between,0.22941468124381276,1.8812738388461743
16,17,-0.6113179559630786,3,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_06,repeated,between,0.22941468124381276,0.8407326372068913
17,18,0.4292232456762043,3,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_07,repeated,between,0.22941468124381276,-0.19980856443239153
18,19,-2.172129758422003,3,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_00,repeated,between,0.22941468124381276,2.4015444396658157
19,20,-0.09104735514343716,3,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_01,repeated,between,0.22941468124381276,0.3204620363872499
20,21,0.4292232456762043,4,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_06,repeated,between,0.22941468124381276,-0.19980856443239153
21,22,-1.1315885567827202,4,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_00,repeated,between,0.22941468124381276,1.361003238026533
22,23,-0.6113179559630786,4,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_01,repeated,between,0.22941468124381276,0.8407326372068913
23,24,0.4292232456762043,4,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_07,repeated,between,0.22941468124381276,-0.19980856443239153
24,25,0.4292232456762043,5,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_06,repeated,between,0.22941468124381276,-0.19980856443239153
25,26,0.4292232456762043,5,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_07,repeated,between,0.22941468124381276,-0.19980856443239153
26,27,-0.09104735514343716,5,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_01,repeated,between,0.22941468124381276,0.3204620363872499
27,28,-1.6518591576023616,5,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_00,repeated,between,0.22941468124381276,1.8812738388461743
28,29,0.4292232456762043,6,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_07,repeated,between,0.22941468124381276,-0.19980856443239153
29,30,0.9494938464958458,6,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_06,repeated,between,0.22941468124381276,-0.7200791652520331
30,31,-1.1315885567827202,6,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_00,repeated,between,0.22941468124381276,1.361003238026533
